年份,时段,评价河长(km),1类河长(km),2类河长(km),3类河长(km),4类河长(km),5类河长(km),劣5类河长(km)
1995,枯水期,4456,1216,2600,640,0,0,0
1995,丰水期,4456,668,789,2182,390,248,179
1995,水文年,4456,1101,1590,1338,130,297,0
1996,枯水期,4479,418,811,3250,0,0,0
1996,丰水期,4479,931,1817,1614,0,49,68
1996,水文年,4479,1146,1322,1975,0,36,0
1997,枯水期,4479,560,781,1926,1212,0,0
1997,丰水期,4479,875,1492,2112,0,0,0
1997,水文年,4479,654,1236,1993.1,595.7,0,0
1998,枯水期,4529,534,927,3068,0,0,0
1998,丰水期,4529,124,368,3847,0,190,0
1998,水文年,4529,465,910,3154,0,0,0
1999,枯水期,6136,0,3229,2119,649,139,0
1999,丰水期,6136,0,3590,1897,649,0,0
1999,水文年,6136,0,3459,1889,340,448,0
2000,枯水期,5285,850,1692,1398,1345,0,0
2000,丰水期,5285,500,1772,1668,1345,0,0
2000,水文年,5285,500,1899,1541,1345,0,0
2001,枯水期,6012,222,1641,2158,1148,487,415
2001,丰水期,6012,36,2050,2297,848,475,307
2001,水文年,6012,138,1810,2122,1124,469,349
2002,枯水期,5983,0,1580,2220,1221,485,473
2002,丰水期,5983,90,1669,2483,909,545,287
2002,水文年,5983,185,2118,1813,1041,305,521
2003,枯水期,6226,131,1295,2503,1718,579,0
2003,丰水期,6226,118,2123,2472,1108,405,0
2003,水文年,6226,500,1107,4236,94,289,0
2004,枯水期,6341,70,1592,2479,704,596,900
2004,丰水期,6341,82,1535,2632,1033,469,590
2004,水文年,6341,70,1636,2574,995,495,571
